date,time,watershed,Site.Code,latitude,longitude,centerline_UTMx,centerline_UTMy,valley5m_UTMx,valley5m_UTMy,drainage_area_m2,drainage_area_ha,temp_SW_degC,DO_SW_mgl,DO_SW_perc,DO_SW_press_mbar,NPOC_SW_mgl,TDN_SW_mgl,temp_HZ_degC,DO_HZ_mgl,DO_HZ_perc,DO_HZ_press_mbar,NPOC_HZ_mgl,TDN_HZ_mgl,hydro_cond_1_mps,hydro_cond_2_mps,hydro_cond_3_mps,sed_percent_organic_content
28-Jul-16,15:20,Lookout Creek,Site 160,44.227611,-122.168441,566416.173,4897492.764,566415.1667,4897497.402,25695214.3,2569.5,13.5,10.02,96.9,936.9,1.17,0.06496,14.5,9.77,96,936.8,NA,0,1.54E-04,1.58E-04,1.45E-04,4.569341765
29-Jul-16,17:00,,161,44.225199,-122.234939,561109.4074,4897170.779,561112.4494,4897173.149,56991380.3,5699.1,18.2,8.89,94.3,955.3,1.831,0.04912,20.3,8.49,94,955.3,3.163,0.02668,3.94E-04,5.63E-04,3.31E-04,3.588758593
28-Jul-16,13:30,Lookout Creek,162,44.210017,-122.257346,559348.4851,4895468.854,559347.6631,4895472.19,62084433.6,6208.4,17.1,9.62,99.7,964.3,3.107,0.02959,19.9,9.32,102.6,964.4,2.877,0.02742,5.52E-04,4.50E-04,4.48E-04,2.382274887
29-Jul-16,17:00,,S_163,44.215806,-122.252296,559726.4684,4896111.825,559730.4683,4896111.001,61266023.6,6126.6,19.3,8.95,96.8,959.7,2.764,0,21.4,6.93,78.3,959.9,4.085,0.08389,1.19E-04,9.34E-05,1.06E-04,2.57650296
27-Jul-16,N/A,WS02,WS2 or 164,44.212258,-122.245358,560307.4428,4895737.842,560309.0615,4895732.207,607822.3,60.8,15.7,8.93,90.1,955.6,2.554,0,NA,NA,NA,NA,2.88,0,1.83E-04,2.83E-04,2.36E-04,14.4757972
29-Jul-16,11:30,"Subsurface upstream of road, sampling done downstream of road",S_165,44.251728,-122.187854,564789.2449,4900155.647,564788.5712,4900155.019,279004.3,27.9,14.3,9.05,88.3,931.1,3.189,0.02425,17.1,8.97,93.5,931,2.977,0.02331,1.93E-04,2.07E-04,2.14E-04,3.196036526
27-Jul-16,12:00,,169,44.272726,-122.139845,568641.0748,4902527.542,568639.2907,4902524.515,535039.3,53.5,8,10.23,86.4,882.2,1.668,0,11.6,10.02,92.1,882.4,2.859,0,5.11E-04,3.22E-04,1.63E-04,14.57093492
28-Jul-16,2:00,,S_170,44.221995,-122.115275,570659.9856,4896908.79,570657.6457,4896912.941,494499.1,49.4,11.6,9.38,85.9,897.2,1.839,0,16.6,9.23,94.5,897.1,2.815,0.2719,2.29E-04,1.46E-04,1.41E-04,13.04831532
27-Jul-16,N/A,WS07,WS7 or 177,44.264813,-122.175553,565808.1999,4901620.582,565807.9768,4901621.463,148398.8,14.8,13.7,9.14,88.1,912.7,1.655,0,16.4,7.12,72.7,912.7,1.876,0,9.69E-05,8.95E-05,8.24E-05,7.338701458
27-Jul-16,11:55,WS08,WS8 or 178,44.266367,-122.170776,566185.1832,4901793.574,566186.1364,4901794.57,198649.4,19.9,13.7,8.97,86.5,908.8,2.2,0,15.2,8.71,86.7,908.8,2.655,0,7.16E-05,9.71E-05,1.22E-04,8.162548308
30-Jul-16,12:15,,190,44.231359,-122.196421,564169.2722,4897881.747,564172.8359,4897876.75,141713.1,14.2,14.2,9.38,91.4,941.9,2.157,0,17.8,9.12,96.1,941.7,2.365,0,4.40E-04,3.15E-04,5.88E-04,7.593795094
30-Jul-16,10:00,,192,44.230925,-122.190774,564620.2523,4897836.749,564619.9335,4897838.952,284571.2,28.5,13.9,8.94,86.5,941.2,2.222,0.02551,16.1,8.56,87.2,940.8,3.542,0.07626,1.21E-05,1.31E-05,2.14E-05,5.121889605
28-Jul-16,11:45,Mack Creek,Site 260,44.227294,-122.168267,566425.1726,4897456.766,566424.6176,4897451.768,8661470.8,866.1,16.4,9.97,96.5,938.7,1.318,0.04059,16.3,9.85,101.4,938.4,NA,0.09647,1.28E-04,2.16E-04,1.55E-04,2.855466458
28-Jul-16,13:26,Lookout Creek,Site 360,44.227558,-122.167932,566456.1712,4897485.765,566458.7969,4897487.779,17027233.7,1702.7,12.5,10.23,96,937.6,1.055,0.02127,14.9,9.97,99.7,937,NA,0.07569,1.38E-04,1.36E-04,1.20E-04,2.954209749
26-Jul-16,16:00,WS03,WS03-1-30m,44.219309,-122.242523,560508.4339,4896516.807,560504.8072,4896519.586,964475.7,96.4,15.5,9.07,90.7,959.7,2.273,0.03805,17.3,9.07,94.4,959.8,2.272,0.04005,9.80E-05,8.31E-05,9.61E-05,6.707274867
28-Jul-16,N/A,Cold Creek,CC-1-15m,44.229604,-122.124091,569956.0167,4897740.753,569957.0089,4897742.435,639671.1,64,8.3,10.87,92.5,907.2,2.164,0.06247,10.8,10.74,97.1,907.2,1.685,0.03695,1.73E-04,6.22E-05,2.10E-04,4.900382371
28-Jul-16,N/A,Cold Creek,CC-2-55m,44.229725,-122.123669,569992.0151,4897760.752,569993.3673,4897764.057,636492.5,63.6,8.8,10.69,92.1,905.9,1.877,0.03006,12.7,9.19,86.7,905.8,1.595,0.03845,1.57E-04,7.08E-05,1.47E-04,4.972904048
28-Jul-16,N/A,Cold Creek,CC-3-100m,44.229949,-122.123015,570038.0131,4897795.751,570037.4755,4897795.376,630486.9,63,9.2,10.58,92.2,904.2,1.714,0.01987,12.1,10.32,96,904.2,1.382,0.03505,3.87E-05,4.30E-05,4.23E-05,5.426774483
28-Jul-16,N/A,Cold Creek,CC-4-250m,44.230306,-122.121409,570162.0076,4897831.749,570164.0075,4897832.352,584930,58.5,9.6,10.43,91.5,901,1.087,0.02196,12.3,10.22,95.5,900.9,1.743,0.03567,1.23E-05,8.45E-06,7.19E-06,7.501086484
29-Jul-16,10:00,Kerry Creek,KC-1-275m,44.221765,-122.22278,562012.3675,4896802.795,562011.3229,4896802.791,1146705.6,114.7,13.8,9.6,92.7,936.6,1.817,0,17.6,9.23,96.7,936.6,1.854,0,1.11E-04,1.31E-04,1.13E-04,6.189488243
29-Jul-16,N/A,Kerry Creek,KC-2-360m,44.221196,-122.223121,561999.3681,4896735.798,562000.07,4896735.793,1142308,114.2,13.7,9.64,92.9,933.8,2.131,0,17.1,9.26,96.2,933.7,2.119,0,1.33E-04,1.22E-04,1.48E-04,6.323105611
29-Jul-16,N/A,Kerry Creek,KC-3-400m,44.220729,-122.223107,562000.368,4896680.8,562000.8117,4896685.8,1139756.2,114,13.6,9.49,91.3,932.6,2.022,0,15.4,9.39,93.9,932.6,2.363,0,2.90E-04,2.94E-04,2.41E-04,5.552027579
